model,clip_id,script,der,jer,der_miss_sec,der_fa_sec,der_confusion_sec,der_total_sec,n_speakers_ref,n_speakers_hyp,speaker_count_error,speaker_count_correct,der_correct_sec
pyannote-3.1,83gP2vLH7UY__255_2005,Devanagari,0.30264530587878485,0.32021501428529314,272.01800000000003,194.42100000000107,152.0530000000005,2043.6199999999974,5,5,0,1,1619.5489999999972
pyannote-3.1,86mMTUeDiR8__181_1079,Bengali,0.5442528665750643,0.6596170902457995,152.49899999999948,112.45999999999977,182.6399999999993,822.4099999999999,5,4,-1,0,487.271000000001
pyannote-3.1,87Zbup3ohcw__106_445,Tamil,0.22289239419022436,0.34824230066300976,37.95300000000012,17.553000000000168,15.853000000000055,320.15000000000003,4,5,1,0,266.3439999999998
pyannote-3.1,8Ve4SWhlrrA__0_70,Oriya,0.07600689547092922,0.5367688634792989,2.782000000000002,0.02599999999999625,2.0419999999999945,63.80999999999999,2,1,-1,0,58.986
pyannote-3.1,8mvORuRHw2U__0_1197,Gujarati,0.1584049270261872,0.18144621848543907,97.24399999999946,44.0249999999999,42.372999999999905,1159.3199999999995,4,4,0,1,1019.7030000000002
pyannote-3.1,8o7jKmq6HsM__30_1770,Devanagari,0.1466681002286151,0.15019516649780346,113.01700000000076,113.60899999999937,32.559999999999405,1767.160000000001,6,6,0,1,1621.5830000000008
pyannote-3.1,8pkp-lpMJP0__326_926,Telugu,0.35393094691887045,0.650236664683908,93.68599999999968,32.02900000000001,119.59100000000007,693.0899999999996,8,5,-3,0,479.8129999999998
pyannote-3.1,8r2Nltl0W4o__259_320,Gurmukhi,0.1787206051636245,0.5736022298737499,3.597999999999998,2.0700000000000083,5.2,60.809999999999995,2,2,0,1,52.01199999999999
pyannote-3.1,90uAd6xpTPo__16_408,Devanagari,0.07650516760540259,0.0858972397262099,9.340999999999944,12.639999999999969,6.000000000000032,365.74,4,4,0,1,350.39900000000006
pyannote-3.1,9Aw8kg8w5Xo__0_83,Telugu,0.08083781143136294,0.5381309961644791,3.96400000000002,1.533999999999999,1.120999999999981,81.88000000000002,4,2,-2,0,76.79500000000002
pyannote-3.1,9_GMxc_JjyI__236_368,Kannada,0.22199634369286989,0.5472340025640733,10.662999999999986,10.383999999999972,9.311000000000003,136.75000000000003,2,2,0,1,116.77600000000002
pyannote-3.1,ARCKJrGkITw__14_496,Telugu,0.34482806269493493,0.4154297792724484,49.35200000000003,28.678000000000043,96.65300000000003,506.57999999999987,3,3,0,1,360.5749999999999
pyannote-3.1,ARZl7LT0UC0__73_130,Telugu,0.28729048006509356,0.4571914633727631,6.312000000000004,2.9289999999999967,8.413,61.45,3,3,0,1,46.724999999999994
pyannote-3.1,A_dohDOK6Ic__0_600,Devanagari,0.06118951264224717,0.06110569329997264,31.77600000000009,2.7500000000000426,0.8550000000000182,578.2199999999999,3,3,0,1,545.5889999999997
pyannote-3.1,B2ScTgeIIck__117_180,Oriya,0.34777844491143806,0.38530147743121396,10.265000000000002,4.718999999999994,8.18500000000001,66.62,2,2,0,1,48.16999999999999
pyannote-3.1,BGAAfht5dYw__0_612,Gujarati,0.18005953258082535,0.26235634557885473,60.67600000000005,13.255999999999839,48.25999999999981,678.62,4,4,0,1,569.6840000000001
pyannote-3.1,BYLcUGNB_zM__20_1387,Kannada,0.10778789323525614,0.15372673023712924,41.54399999999997,28.92899999999996,71.95899999999993,1321.4100000000003,4,4,0,1,1207.9070000000004
pyannote-3.1,Bngfppo1QtA__28_927,Telugu,0.47513557041506993,0.5075110572658195,139.43300000000127,133.95900000000017,192.73499999999893,981.0400000000004,5,6,1,0,648.8720000000003
pyannote-3.1,CO_8ppdzq9U__0_695,Tamil,0.12285512714333886,0.152249810768187,49.36200000000001,5.148000000000174,25.593999999999667,652.0200000000003,4,4,0,1,577.0640000000006
pyannote-3.1,Cku_X_SL7qU__60_660,Gujarati,0.6316565603658418,0.5302563476123804,111.71999999999994,159.8420000000002,41.98600000000012,496.39000000000004,3,3,0,1,342.68399999999997
pyannote-3.1,DPmew0didIM__191_512,Telugu,0.36506156956441826,0.5542727129718485,46.554999999999964,28.661000000000097,43.96199999999989,326.4599999999999,5,4,-1,0,235.94300000000007
pyannote-3.1,EmsKkNN2Me4__35_95,Malayalam,0.5281358167133677,0.6101522035288437,5.560000000000005,7.041,19.44100000000001,60.669999999999995,2,2,0,1,35.66899999999998
pyannote-3.1,ExGJodnzocM__212_527,Devanagari,0.34331331525248626,0.4517903842121123,27.07500000000006,10.173000000000005,69.083,309.72,4,4,0,1,213.56199999999998
