system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,wder_num,wder_denom,cp_mapping,attribution_diar,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,NuhdqCEuIBo__197_540,Gurmukhi,1369,1263,0.1891891891891892,0.3323593864134405,0.1891891891891892,0.14317019722425128,0.11147011308562198,1135,103,131,25,138,1238,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",reverb-v2,259,1009,159,201,95,1369,455,1135,103,131,25,1369,259,121,17
sarvam-saaras-v3@reverb-v2,O4_aeGFzZ8A__0_335,Kannada,675,670,0.21185185185185185,0.22518518518518518,0.21185185185185185,0.013333333333333336,0.007763975155279503,558,86,31,26,5,644,"{'SPEAKER_07': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C', 'SPEAKER_03': 'Speaker_D', 'SPEAKER_04': 'Speaker_E', 'SPEAKER_05': 'Speaker_F', 'SPEAKER_02': 'Speaker_G', 'SPEAKER_06': 'Speaker_H'}",reverb-v2,143,554,85,36,31,675,152,558,86,31,26,675,143,4,1
sarvam-saaras-v3@reverb-v2,OXUt5KnlUMo__91_181,Oriya,242,223,0.4669421487603306,0.5165289256198347,0.4669421487603306,0.04958677685950408,0.045662100456621,133,86,23,4,10,219,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",reverb-v2,113,127,86,29,10,242,125,133,86,23,4,242,113,5,5
sarvam-saaras-v3@reverb-v2,OxYCBQKZ3iY__0_1822,Gurmukhi,5524,5584,0.32385952208544533,0.6254525706010138,0.32385952208544533,0.30159304851556845,0.24036412938214216,4156,1007,361,421,1241,5163,"{'SPEAKER_05': 'Speaker_A', 'SPEAKER_04': 'Speaker_C', 'SPEAKER_01': 'Speaker_D', 'SPEAKER_02': 'Speaker_E', 'SPEAKER_03': 'Speaker_F', 'SPEAKER_00': 'Speaker_G'}",reverb-v2,1789,3362,929,1233,1293,5524,3455,4156,1007,361,421,5524,1789,850,391
sarvam-saaras-v3@reverb-v2,PCUA2q2C-2A__45_107,Devanagari,148,149,0.1891891891891892,0.1891891891891892,0.1891891891891892,0.0,0.0,126,17,5,6,0,143,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,28,126,17,5,6,148,28,126,17,5,6,148,28,0,0
sarvam-saaras-v3@reverb-v2,PEDfT9-Yf2o__0_469,Bengali,1014,1003,0.10453648915187377,0.16962524654832348,0.10453648915187377,0.0650887573964497,0.048730964467005075,926,59,29,18,48,985,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,106,883,79,52,41,1014,172,926,59,29,18,1014,106,42,6
sarvam-saaras-v3@reverb-v2,PQB3-4sZUeY__0_1132,Telugu,3018,2849,0.6043737574552683,0.7597746852220013,0.6043737574552683,0.15540092776673298,0.315450643776824,1247,1549,222,53,882,2796,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_03': 'Speaker_C', 'SPEAKER_01': 'Speaker_D'}",reverb-v2,1824,966,1642,410,241,3018,2293,1247,1549,222,53,3018,1824,281,601
sarvam-saaras-v3@reverb-v2,PRAzUz0GANs__223_283,Kannada,190,156,0.3368421052631579,0.34210526315789475,0.3368421052631579,0.0052631578947368585,0.03355704697986577,133,16,41,7,5,149,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",reverb-v2,64,132,17,41,7,190,65,133,16,41,7,190,64,3,2
sarvam-saaras-v3@reverb-v2,PSIzXy5-y2E__2_918,Devanagari,2395,2351,0.2405010438413361,0.29352818371607514,0.2405010438413361,0.05302713987473903,0.04634581105169341,1926,318,151,107,104,2244,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,576,1878,287,230,186,2395,703,1926,318,151,107,2395,576,59,45
sarvam-saaras-v3@reverb-v2,PVDfS7lcJHY__0_360,Kannada,1024,969,0.3837890625,0.5859375,0.3837890625,0.2021484375,0.19912472647702406,686,228,110,55,182,914,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_04': 'Speaker_D', 'SPEAKER_05': 'Speaker_E', 'SPEAKER_00': 'Speaker_F'}",reverb-v2,393,557,279,188,133,1024,600,686,228,110,55,1024,393,138,44
sarvam-saaras-v3@reverb-v2,Pjre5dpnKGA__0_330,Kannada,747,753,0.3427041499330656,0.4457831325301205,0.3427041499330656,0.10307898259705489,0.11001410437235543,535,174,38,44,78,709,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_01': 'Speaker_D'}",reverb-v2,256,501,165,81,87,747,333,535,174,38,44,747,256,36,42
sarvam-saaras-v3@reverb-v2,QhpjuNTZoA8__0_586,Kannada,1534,1501,0.21577574967405475,0.6857887874837028,0.21577574967405475,0.470013037809648,0.2751212751212751,1261,182,91,58,397,1443,"{'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C'}",reverb-v2,331,909,165,460,427,1534,1052,1261,182,91,58,1534,331,361,36
sarvam-saaras-v3@reverb-v2,QuA_B6IZ6Ls__61_1863,Devanagari,6629,6781,0.1829838588022326,0.23261427062905415,0.1829838588022326,0.04963041182682154,0.050333439187043506,5899,399,331,483,317,6298,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_00': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",reverb-v2,1213,5696,476,457,609,6629,1542,5899,399,331,483,6629,1213,262,55
sarvam-saaras-v3@reverb-v2,RL2fhIEEbZg__0_65,Telugu,159,157,0.24528301886792453,0.42138364779874216,0.24528301886792453,0.17610062893081763,0.12162162162162163,129,19,11,9,18,148,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_C'}",reverb-v2,39,113,23,23,21,159,67,129,19,11,9,159,39,16,2
sarvam-saaras-v3@reverb-v2,RL2fhIEEbZg__66_1034,Telugu,2524,2431,0.24524564183835182,0.30863708399366085,0.24524564183835182,0.06339144215530904,0.06791969243912858,1995,346,183,90,159,2341,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C'}",reverb-v2,619,1904,368,252,159,2524,779,1995,346,183,90,2524,619,107,52
sarvam-saaras-v3@reverb-v2,RWTmftezCwI__0_60,Malayalam,109,114,0.25688073394495414,0.5963302752293578,0.25688073394495414,0.33944954128440363,0.27102803738317754,88,19,2,7,29,107,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",reverb-v2,28,69,20,20,25,109,65,88,19,2,7,109,28,19,10
sarvam-saaras-v3@reverb-v2,RZUZyvRzi80__0_336,Gurmukhi,1083,1037,0.15604801477377656,0.15604801477377656,0.15604801477377656,0.0,0.0,935,81,67,21,0,1016,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_02': 'Speaker_B', 'SPEAKER_03': 'Speaker_C', 'SPEAKER_01': 'Speaker_D'}",reverb-v2,169,935,81,67,21,1083,169,935,81,67,21,1083,169,0,0
sarvam-saaras-v3@reverb-v2,SZ7ay4OjfAE__0_897,Telugu,2103,2057,0.45696623870660963,0.8411792677127913,0.45696623870660963,0.38421302900618165,0.43314105925537494,1292,615,196,150,826,1907,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_D'}",reverb-v2,961,864,663,576,530,2103,1769,1292,615,196,150,2103,961,459,367
