system,clip_id,script,n_ref_words,n_hyp,wer,cpwer,di_cpwer,cp_minus_di_cp,wder,hits,sub,del,ins,errors,cphits,cpsub,cpdel,cpins,cpn_ref_words,cperrors,cp_mapping,di_cphits,di_cpsub,di_cpdel,di_cpins,di_cpn_ref_words,di_cperrors,wder_num,wder_denom,wder_correct_wrong_spk,wder_sub_wrong_spk
sarvam-saaras-v3@reverb-v2,CO_8ppdzq9U__0_695,Tamil,1592,1643,0.3655778894472362,0.42273869346733667,0.3655778894472362,0.057160804020100486,0.07283464566929133,1129,395,68,119,582,1071,420,101,152,1592,673,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_03': 'Speaker_D'}",1129,395,68,119,1592,582,111,1524,64,47
sarvam-saaras-v3@reverb-v2,Cku_X_SL7qU__60_660,Gujarati,1774,1610,0.617249154453213,0.7401352874859075,0.617249154453213,0.12288613303269447,0.289490245437382,700,889,185,21,1095,604,863,307,143,1774,1313,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C'}",700,889,185,21,1774,1095,460,1589,112,348
sarvam-saaras-v3@reverb-v2,DPmew0didIM__191_512,Telugu,748,766,0.2807486631016043,0.4959893048128342,0.2807486631016043,0.21524064171122992,0.17069701280227595,601,102,45,63,210,493,157,98,116,748,371,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_02': 'Speaker_C', 'SPEAKER_04': 'Speaker_D', 'SPEAKER_03': 'Speaker_E'}",601,102,45,63,748,210,120,703,99,21
sarvam-saaras-v3@reverb-v2,EmsKkNN2Me4__35_95,Malayalam,166,154,0.5903614457831325,0.7891566265060241,0.5903614457831325,0.1987951807228916,0.22377622377622378,79,64,23,11,98,62,65,39,27,166,131,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_02': 'Speaker_B'}",79,64,23,11,166,98,32,143,12,20
sarvam-saaras-v3@reverb-v2,ExGJodnzocM__212_527,Devanagari,1161,1175,0.1335055986218777,0.2954349698535745,0.1335055986218777,0.1619293712316968,0.10218340611353711,1036,109,16,30,155,929,135,97,111,1161,343,"{'SPEAKER_03': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C', 'SPEAKER_02': 'Speaker_D'}",1036,109,16,30,1161,155,117,1145,103,14
sarvam-saaras-v3@reverb-v2,F2uXav-wriA__0_907,Devanagari,2765,2746,0.1240506329113924,0.2864376130198915,0.1240506329113924,0.1623869801084991,0.09413522599925289,2491,186,88,69,343,2270,179,316,297,2765,792,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_03': 'Speaker_B', 'SPEAKER_00': 'Speaker_C', 'SPEAKER_02': 'Speaker_D'}",2491,186,88,69,2765,343,252,2677,228,24
sarvam-saaras-v3@reverb-v2,FDMf9ApmoNU__16_686,Bengali,1622,1531,0.24106041923551172,0.3711467324290999,0.24106041923551172,0.13008631319358818,0.11808367071524967,1280,202,140,49,391,1164,223,235,144,1622,602,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",1280,202,140,49,1622,391,175,1482,126,49
sarvam-saaras-v3@reverb-v2,G6qzg93FxwE__21_116,Gujarati,267,268,0.13857677902621723,0.14606741573033707,0.13857677902621723,0.007490636704119841,0.0038910505836575876,241,16,10,11,37,240,16,11,12,267,39,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B'}",241,16,10,11,267,37,1,257,1,0
sarvam-saaras-v3@reverb-v2,GEc_sS2KWo8__96_290,Gujarati,517,491,0.3617021276595745,0.44680851063829785,0.3617021276595745,0.08510638297872336,0.06289308176100629,344,133,40,14,187,324,129,64,38,517,231,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_C'}",344,133,40,14,517,187,30,477,21,9
sarvam-saaras-v3@reverb-v2,GfFLEIAAumk__90_163,Bengali,204,198,0.1568627450980392,0.28921568627450983,0.1568627450980392,0.13235294117647062,0.08762886597938144,176,18,10,4,32,156,31,17,11,204,59,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B'}",176,18,10,4,204,32,17,194,17,0
sarvam-saaras-v3@reverb-v2,Gq45evw6ytY__597_1464,Oriya,2688,2396,0.38244047619047616,0.5279017857142857,0.38244047619047616,0.14546130952380953,0.1447424435930183,1707,642,339,47,1028,1490,685,513,221,2688,1419,"{'SPEAKER_02': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_01': 'Speaker_C'}",1707,642,339,47,2688,1028,340,2349,232,108
sarvam-saaras-v3@reverb-v2,HZv_WvIr6lE__21_105,Tamil,252,224,0.38095238095238093,0.44047619047619047,0.38095238095238093,0.059523809523809534,0.12612612612612611,158,64,30,2,96,152,61,39,11,252,111,"{'SPEAKER_00': 'Speaker_A', 'SPEAKER_01': 'Speaker_B', 'SPEAKER_02': 'Speaker_C'}",158,64,30,2,252,96,28,222,9,19
sarvam-saaras-v3@reverb-v2,HpYG46tGyYs__103_998,Devanagari,2564,2632,0.11505460218408736,0.12246489859594384,0.11505460218408736,0.007410296411856476,0.0130074891604257,2364,173,27,95,295,2356,170,38,106,2564,314,"{'SPEAKER_01': 'Speaker_A', 'SPEAKER_00': 'Speaker_B', 'SPEAKER_03': 'Speaker_C', 'SPEAKER_02': 'Speaker_D'}",2364,173,27,95,2564,295,33,2537,8,25
